English,Japanese
Engineer,技術者
City Quarter,市街
Overlord,大君主
Royal Blacksmith,王室の鍛冶屋
Encampment/Plunder,陣地／鹵獲品
Patrician/Emporium,パトリキ／エンポリウム
Settlers/Bustling Village,開拓者／騒がしい村
Castles,城
Catapult/Rocks,投石機／石
Chariot Race,戦車競走
Enchantress,女魔術師
Farmers' Market,農家の市場
Gladiator/Fortune,剣闘士／大金
Sacrifice,生贄
Temple,神殿
Villa,ヴィラ
Archive,資料庫
Capital,元手
Charm,御守り
Crown,冠
Forum,公共広場
Groundskeeper,庭師
Legionary,軍団兵
Wild Hunt,ワイルドハント
Encampment,陣地
Plunder,鹵獲品
Patrician,パトリキ
Emporium,エンポリウム
Settlers,開拓者
Bustling Village,騒がしい村
Humble Castle,粗末な城
Crumbling Castle,崩れた城
Small Castle,小さい城
Haunted Castle,幽霊城
Opulent Castle,華やかな城
Sprawling Castle,広大な城
Grand Castle,壮大な城
King's Castle,王城
Catapult,投石機
Rocks,石
Gladiator,剣闘士
Fortune,大金
Triumph,凱旋
Annex,併合
Donate,寄付
Advance,昇進
Delve,掘進
Tax,徴税
Banquet,宴会
Ritual,儀式
Salt the Earth,大地への塩まき
Wedding,結婚式
Windfall,意外な授かり物
Conquest,征服
Dominate,制圧
Aqueduct,水道橋
Arena,闘技場
Bandit Fort,山賊の砦
Basilica,公会堂
Baths,浴場
Battlefield,戦場
Colonnade,列柱
Defiled Shrine,汚された神殿
Fountain,噴水
Keep,砦
Labyrinth,迷宮
Mountain Pass,峠
Museum,博物館
Obelisk,オベリスク
Orchard,果樹園
Palace,宮殿
Tomb,墓標
Tower,塔
Triumphal Arch,凱旋門
Wall,壁
Wolf Den,狼の巣
